Country,electricity,gdp,happiness,life,natural,pop,primary_2016,unemployment
Albania,100,4124.108543,4.655,78.194,1.049502751,104.9671898,105.5539,15.22000027
Algeria,99.9923172,3948.811897,6.355,76.298,12.30340662,17.02595749,113.8302,10.20199966
Argentina,99.9668808,12790.24247,6.65,76.221,1.134939444,15.92813508,110.7392,8.015999794
Armenia,100,3591.829276,4.36,74.64,4.412079193,103.1312259,94.5179,17.61700058
Australia,100,50019.96777,7.313,82.44878049,6.095124703,3.144935531,100.7444,5.710999966
Austria,100,45103.32981,7.119,81.64146341,0.112891415,105.8694934,102.2644,6.013999939
Azerbaijan,100,3880.738731,5.291,72.493,15.44017574,118.033289,106.4317,5
Bahrain,100,22619.11667,6.218,76.899,3.22725948,1832.636175,101.0931,1.013000011
Belarus,100,5022.626643,5.802,73.82682927,1.297211872,46.8083514,101.077,5.840000153
Belgium,100,41449.09736,6.929,81.43902439,0.018805856,374.2213342,103.3178,7.829999924
Belize,97.00158691,4904.034338,5.956,74.219,0.850455047,16.15081105,114.4842,7.909999847
Benin,41.61823273,788.5491965,3.484,60.885,6.001739009,96.41776339,130.9023,2.41899991
Bhutan,99.77463531,3012.961401,5.196,70.781,4.358206153,19.31388997,102.6607,2.338999987
Bolivia,91.8,3076.658949,5.822,70.626,5.241708418,10.18352534,96.5925,3.055999994
Brazil,99.7,8712.887044,6.952,75.23,3.014607068,24.66614079,113.9454,11.60900021
Bulgaria,100,7469.455638,4.217,74.81219512,1.340418664,65.65790346,91.08322,7.574999809
Burkina Faso,23.65287399,583.8326203,3.739,60.354,21.11407018,68.15196637,91.11084,6.363999844
Burundi,9.298458099,282.1496815,2.905,60.528,17.02105594,408.4111371,128.0421,1.565999985
Cambodia,76.8398819,1269.591257,3.907,68.977,1.888216015,89.31731815,110.1877,1.131000042
Cameroon,60.10734558,1363.403851,4.513,58.063,5.902552494,50.61568192,116.1173,3.470999956
Canada,100,42279.90082,7.404,82.1422439,1.218252321,3.970907493,101.0239,6.999000072
Chad,10.11441898,692.9785958,3.763,53.438,13.19236327,11.56422014,86.84687,2.417000055
Chile,100,13748.0884,6.705,79.779,10.28213125,24.48995771,100.9783,6.737999916
China,100,8078.790474,5.245,76.21,1.257735707,146.8506776,97.96192,4.5
Colombia,98.4,5871.223524,6.481,76.732,3.416752992,43.41720775,116.2337,8.692000389
Costa Rica,99.5,11666.45661,7.087,79.738,1.180502786,95.9527027,111.7611,8.597999573
Croatia,100,12366.82154,5.488,78.02195122,0.590697864,74.59522873,98.20057,13.10299969
Czech Republic,100,18463.38658,6.596,79.02682927,0.308197377,136.8341362,100.2089,3.950999975
Denmark,100,54467.10452,7.526,80.85365854,0.362378587,136.4136699,101.8048,6.181000233
Dominican Republic,98.9,6957.564507,5.155,73.471,2.183211823,215.2296212,110.2988,7.28399992
Ecuador,98.7,6060.093329,5.976,76.365,3.745345848,66.40004429,104.935,4.597000122
El Salvador,96,3800.122181,6.068,72.644,0.968815287,306.7636583,99.80045,4.418000221
Estonia,100,18228.05825,5.517,77.64146341,1.144313767,30.2689211,97.1178,6.762000084
Finland,100,43493.41934,7.413,81.42926829,0.560388165,18.08200783,100.4188,8.81799984
France,100,36962.22229,6.478,82.52439024,0.039476768,122.1055871,102.2604,10.05700016
Georgia,100,3857.281728,4.252,73.207,1.074453569,65.21405578,100.3439,13.97000027
Germany,100,42443.46507,6.994,80.9902439,0.058471663,235.7129294,102.6776,4.122000217
Ghana,79.3,1931.38947,4.276,63.124,11.65129993,125.1733585,106.728,6.767000198
Greece,100,18116.45962,5.033,81.38780488,0.08728336,83.5994647,99.27773,23.53899956
Guatemala,91.92584229,4140.590064,6.324,73.541,1.996737015,154.7504666,100.8123,2.825999975
Guinea,33.5,733.0207588,3.607,60.17,21.09932927,47.77161403,91.50917,3.667999983
Honduras,91.6,2326.297027,4.871,74.701,2.168941332,82.85633211,92.58469,4.668000221
Hungary,100,12839.58454,5.145,76.06341463,0.25565873,108.4063073,101.8788,5.114999771
Iceland,100,61757.94931,7.501,82.20487805,2.50379e-4,3.346024938,99.53414,2.977999926
India,89.64585876,1729.268021,4.404,68.897,1.837673495,445.4843414,114.5383,2.7300000190000002
Indonesia,97.62,3562.845756,5.314,71.035,3.058776153,144.3798617,105.6099,4.301000118
Ireland,100,63197.08237,6.907,81.70487805,0.099752261,69.0279431,101.3415,8.366000175
Israel,100,37371.62691,7.267,82.40731707,0.166752765,394.9168207,104.748,4.797999859
Italy,100,30830.92266,5.977,83.24390244,0.049423556,206.1178282,99.42546,11.68799973
Jamaica,98.48193359,4842.045011,5.51,74.175,1.231227397,268.3506925,90.88122,13.19200039
Jordan,100,4109.574819,5.303,74.184,1.20160246,107.5857964,78.56042,15.274999619999999
Kazakhstan,100,7714.841844,5.919,72.3,12.39438011,6.591123088,109.8852,4.9600000380000004
Kenya,65.4,1410.527571,4.356,65.393,2.692540177,86.18562392,103.2053,9.62899971
Kuwait,100,27653.1644,6.239,75.224,32.14700932,222.0467452,100.5322,2.160000086
Latvia,100,14133.68295,5.56,74.5804878,1.021464887,31.51394339,99.19855,9.642999649
Liberia,19.8,714.6233922,3.622,62.802,23.6957544,47.62030731,89.47021,2.1500000950000002
Lithuania,100,14982.53305,5.813,74.67073171,0.376167245,45.78766499,102.8918,7.861999989
Luxembourg,100,101305.5277,6.871,82.68536585,0.012339187,239.5119342,100.7898,6.290999889
Madagascar,22.9,400.0362751,3.695,65.931,11.31365792,42.78855277,143.8242,1.754999995
Malawi,11,315.7773264,4.156,62.681,11.04008716,182.491398,144.5329,5.711999893
Malaysia,100,9671.024717,6.005,75.649,5.510048124,93.39462487,104.9992,3.4400000569999998
Mali,39.7546196,779.874933,4.073,57.987,12.39754447,14.72346848,77.17026,9.729999542
Malta,100,25128.93738,6.488,82.45365854,0,1422.9875,103.9727,4.702000141
Mauritania,41.35232162,1135.558646,4.201,64.208,20.84098991,4.039520714,96.83442,10.37800026
Mauritius,97.97086334,9681.618567,5.648,74.39487805,0.003585808,622.4004926,102.4534,6.813000202
Mexico,99.5,8739.142471,6.778,74.917,2.276875408,63.44472646,106.2777,3.858999968
Moldova,100,2272.405707,5.897,71.617,0.338682229,123.7312851,91.75292,4.184999943
Mongolia,84.32501221,3660.150746,4.907,69.321,25.17668777,1.967326013,102.9698,7.235000134
Montenegro,100,7028.936577,5.161,76.568,1.025520122,46.26788104,95.94375,17.72299957
Morocco,99.96437073,2897.66344,5.151,75.974,2.211549827,78.70557024,110.3958,9.300000191
Myanmar,55.6,1192.495338,4.395,66.205,6.766803287,81.22316715,108.9044,1.175999999
Nepal,90.7,777.1475955,4.793,69.848,1.304024368,190.1718242,144.4888,1.425999999
Netherlands,100,46007.85292,7.339,81.56097561,0.287370137,505.500564,103.2868,6.006000042
New Zealand,100,40026.8522,7.334,81.61243902,1.011232835,17.82385781,98.82145,5.099999905
Niger,18.89648247,362.1311323,3.856,61.137,13.42377546,16.41180864,73.43233,0.31099999
Nigeria,59.3,2175.99967,4.875,53.541,4.859532579,204.1791989,84.72564,6.236999989
Norway,100,70941.52527,7.498,82.40731707,4.12916051,14.3363165,100.2259,4.678999901
Pakistan,71.41359711,1368.454326,5.132,66.77,0.931522433,264.1491335,91.31746,3.4400000569999998
Panama,96.81897736,14356.32405,6.701,77.964,0.208336676,54.30559591,93.12198,3.3150000569999998
Peru,94.2,6205.3709,5.743,76.044,7.339820933,24.1609625,103.0603,3.535000086
Philippines,92.31915283,2941.21204,5.279,70.802,1.230823961,347.6671932,110.1739,2.707999945
Portugal,100,19977.39849,5.123,81.12439024,0.26692121,112.7163894,105.7375,11.06599998
Puerto Rico,100,30628.75478,7.039,79.49497561,0,384.0467869,83.03671,11.80000019
Qatar,100,57163.06099,6.375,79.868,15.35257694,228.6282515,103.0326,0.140000001
Romania,100,9567.097782,5.528,75.3097561,0.683527636,85.63252782,86.90768,5.901000023
Rwanda,29.37,726.353049,3.515,67.93,6.257569106,472.9962708,141.2787,1.034999967
Saudi Arabia,100,19879.29753,6.379,74.761,20.0307232,15.09174439,116.9421,5.650000095
Senegal,64.5,1269.040407,4.219,67.078,4.473892567,77.87632057,84.45544,6.612999916
Serbia,100,5756.381194,5.177,75.68780488,1.159873509,80.70343014,100.5713,15.25699997
Sierra Leone,20.3,501.4157129,4.635,53.444,12.40100775,101.5355777,118.2468,4.7100000380000004
Singapore,100,56724.17039,6.739,82.84634146,4.41298e-4,7908.720563,100.7732,4.079999924
Slovenia,100,21617.57985,5.768,81.17560976,0.272818744,102.5241808,99.83801,8
South Africa,84.2,5272.627749,4.459,63.153,5.05524637,46.33098451,103.185,26.5510006
Spain,100,26622.29914,6.361,83.32926829,0.074400818,93.04827901,104.2142,19.63500023
Sri Lanka,95.75769043,3886.291502,4.415,76.482,0.145763444,338.11194390000003,101.474,4.3699998860000004
Suriname,95.96812439,5606.712075,6.269,71.358,30.21507746,3.621076923,115.547,7.289000034
Sweden,100,51617.54035,7.291,82.30731707,0.435390625,24.36248803,124.8511,6.989999771
Switzerland,100,80037.50304,7.509,83.60243902,0.010080119,211.8974034,104.6291,4.918000221
Tajikistan,99.88729095,802.5180041,4.996,70.397,4.326982152,62.42221342,97.98573,10.98900032
Tanzania,32.8,966.4746224,3.666,63.844,6.807839582,59.89025739,85.29786,2.095000029
Thailand,100,5978.611454,6.474,76.403,1.598330626,135.0023117,100.7575,0.688000023
Togo,47.37870026,587.8744094,3.303,60.22,18.4851497,138.0759698,125.1071,1.654000044
Tunisia,100,3698.565075,5.045,76.115,2.298547763,72.75969361,114.9202,15.51399994
Turkey,100,10820.63384,5.389,76.86,0.301415549,103.7144134,100.9476,10.83899975
Uganda,26.7,608.7057351,3.739,61.986,14.62577428,197.723449,104.0007,1.792000055
United Arab Emirates,100,38141.84676,6.573,77.47,11.34669543,131.8076598,108.6727,1.636000037
United Kingdom,100,40539.91961,6.725,81.15609756,0.293216265,271.134481,101.3352,4.813000202
United States,100,57904.20196,7.104,78.53902439,0.331561842,35.31830199,101.3629,4.868999958
Uruguay,99.7,15387.14403,6.545,77.498,1.75926681,19.56423266,109.7078,7.84100008
Uzbekistan,100,2567.799418,5.987,71.171,8.810192187,74.86577339,101.5725,5.159999847
Vietnam,100,2192.214539,5.061,75.172,2.62364711,301.9922082,111.2049,1.850999951
Zambia,35.21650696,1280.578447,4.795,62.464,15.32955108,22.0120085,98.60698,7.372000217
